Name: laravel/laravel
Version: dev-feature-initial_folder_structure
Licenses: MIT
Dependencies:

Name                                     Version             License                         
rap2hpoutre/laravel-log-viewer           v0.22.1             MIT                             
sabre/event                              5.0.3               BSD-3-Clause                    
sabre/uri                                2.1.1               BSD-3-Clause                    
sebastian/code-unit-reverse-lookup       1.0.1               BSD-3-Clause                    
sebastian/comparator                     3.0.2               BSD-3-Clause                    
sebastian/diff                           3.0.1               BSD-3-Clause                    
sebastian/environment                    4.0.1               BSD-3-Clause                    
sebastian/exporter                       3.1.0               BSD-3-Clause                    
sebastian/finder-facade                  1.2.2               BSD-3-Clause                    
sebastian/global-state                   2.0.0               BSD-3-Clause                    
sebastian/object-enumerator              3.0.3               BSD-3-Clause                    
sebastian/object-reflector               1.1.1               BSD-3-Clause                    
sebastian/phpcpd                         dev-master c5ed4aa  BSD-3-Clause                    
sebastian/recursion-context              3.0.0               BSD-3-Clause                    
sebastian/resource-operations            2.0.1               BSD-3-Clause                    
sebastian/version                        2.0.1               BSD-3-Clause                    
seld/jsonlint                            1.7.1               MIT                             
seld/phar-utils                          1.0.1               MIT                             
sensiolabs/security-checker              v5.0.2              MIT                             
sentry/sentry                            1.10.0              BSD-3-Clause                    
sentry/sentry-laravel                    0.11.0              Apache-2.0                      
slevomat/coding-standard                 4.8.6               MIT                             
spatie/laravel-permission                2.28.2              MIT                             
squizlabs/php_codesniffer                3.3.2               BSD-3-Clause                    
swagger-api/swagger-ui                   v3.20.1             Apache-2.0                      
swiftmailer/swiftmailer                  v6.1.3              MIT                             
symfony/class-loader                     v3.4.20             MIT                             
symfony/config                           v4.2.1              MIT                             
symfony/console                          v4.2.1              MIT                             
symfony/contracts                        v1.0.2              MIT                             
symfony/css-selector                     v4.2.1              MIT                             
symfony/debug                            v4.2.1              MIT                             
symfony/dependency-injection             v4.2.1              MIT                             
symfony/event-dispatcher                 v4.2.1              MIT                             
symfony/filesystem                       v4.2.1              MIT                             
symfony/finder                           v4.2.1              MIT                             
symfony/http-foundation                  v4.2.1              MIT                             
symfony/http-kernel                      v4.2.1              MIT                             
symfony/options-resolver                 v4.2.1              MIT                             
symfony/polyfill-ctype                   v1.10.0             MIT                             
symfony/polyfill-mbstring                v1.10.0             MIT                             
symfony/polyfill-php56                   v1.10.0             MIT                             
symfony/polyfill-php70                   v1.10.0             MIT                             
symfony/polyfill-php72                   v1.10.0             MIT                             
symfony/polyfill-util                    v1.10.0             MIT                             
symfony/process                          v4.2.1              MIT                             
symfony/routing                          v4.2.1              MIT                             
symfony/stopwatch                        v4.2.1              MIT                             
symfony/translation                      v4.2.1              MIT                             
symfony/var-dumper                       v4.2.1              MIT                             
symfony/yaml                             v4.2.1              MIT                             
theseer/fdomdocument                     1.6.6               BSD-3-Clause                    
theseer/tokenizer                        1.1.0               BSD-3-Clause                    
tijsverkoyen/css-to-inline-styles        2.2.1               BSD-3-Clause                    
twig/twig                                v2.5.0              BSD-3-Clause                    
tymon/jwt-auth                           1.0.0-rc.3          MIT                             
vimeo/psalm                              3.0.3               MIT                             
vlucas/phpdotenv                         v2.5.1              BSD-3-Clause                    
webmozart/assert                         1.3.0               MIT                             
webmozart/glob                           4.1.0               MIT                             
webmozart/path-util                      2.3.0               MIT                             
webpatser/laravel-uuid                   3.0.1               MIT                             
zendframework/zend-diactoros             1.8.6               BSD-2-Clause                    
zircote/swagger-php                      3.0.2               Apache-2.0                      
